trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.99}",30,0,-171.67038637285268,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 4}",0
2,False,"{'a': 0.9, 'e': 0.9801}",20,0,-192.96468136852653,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
3,False,"{'a': 0.9, 'e': 0.970299}",25,0,-106.92576856430172,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.96059601}",20,0,-85.04093598709,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.9509900498999999}",25,0,-91.24603172011874,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.9, 'e': 0.941480149401}",25,0,-147.92298474926963,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.9320653479069899}",20,0,-76.88894253326795,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.9, 'e': 0.9227446944279201}",35,26,2.8381453394361595,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.9, 'e': 0.9135172474836408}",20,0,-34.904195482639466,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.9043820750088044}",20,0,-68.57129630997896,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.8953382542587164}",25,0,-149.3952673239042,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.9, 'e': 0.8863848717161292}",35,0,-248.38478849330806,"{0: 22, 1: 1, 2: 5, 3: 3, 4: 4}",0
13,False,"{'a': 0.9, 'e': 0.8775210229989678}",25,0,-202.20415136878464,"{0: 13, 1: 4, 2: 2, 3: 3, 4: 3}",0
14,False,"{'a': 0.9, 'e': 0.8687458127689782}",30,0,-80.67547032583235,"{0: 23, 1: 4, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.9, 'e': 0.8600583546412884}",20,0,-101.8646361897248,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.9, 'e': 0.8514577710948755}",25,0,-110.63785105146218,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.8429431933839268}",20,12,-18.7265562915168,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.8345137614500875}",30,0,-77.3261550020095,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.9, 'e': 0.8261686238355866}",35,11,-124.5148122357612,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 1}",1
20,False,"{'a': 0.9, 'e': 0.8179069375972308}",20,0,-183.78066657411264,"{0: 11, 1: 4, 2: 0, 3: 1, 4: 4}",0
21,False,"{'a': 0.9, 'e': 0.8097278682212584}",30,5,-122.39907671444553,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",1
22,False,"{'a': 0.9, 'e': 0.8016305895390459}",20,0,-125.00999052565577,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
23,False,"{'a': 0.9, 'e': 0.7936142836436554}",20,0,-31.753084004839796,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.9, 'e': 0.7856781408072188}",25,0,-104.70250993363793,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.9, 'e': 0.7778213593991467}",20,0,-52.2446455932872,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
26,False,"{'a': 0.9, 'e': 0.7700431458051551}",20,0,-118.98133816074673,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
27,False,"{'a': 0.9, 'e': 0.7623427143471035}",20,0,-64.66124318164935,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.9, 'e': 0.7547192872036326}",25,0,-131.88730218294018,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
29,False,"{'a': 0.9, 'e': 0.7471720943315961}",25,4,-126.6829114758856,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 2}",1
30,False,"{'a': 0.9, 'e': 0.7397003733882802}",20,0,-114.71328300719941,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
31,False,"{'a': 0.9, 'e': 0.7323033696543975}",25,3,-112.2612622503648,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 2}",1
32,False,"{'a': 0.9, 'e': 0.7249803359578534}",20,0,10.055566872500368,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
33,False,"{'a': 0.9, 'e': 0.7177305325982749}",20,0,-30.687375541996126,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
34,False,"{'a': 0.9, 'e': 0.7105532272722921}",20,0,-114.68237761050408,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
35,False,"{'a': 0.9, 'e': 0.7034476949995692}",30,0,-135.94670945951907,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
36,False,"{'a': 0.9, 'e': 0.6964132180495735}",20,9,-28.10038889183989,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
37,False,"{'a': 0.9, 'e': 0.6894490858690777}",20,0,-56.95055754759385,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
38,False,"{'a': 0.9, 'e': 0.682554595010387}",20,0,-30.744423529272932,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
39,False,"{'a': 0.9, 'e': 0.6757290490602831}",25,0,-48.616084247662755,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 0.9, 'e': 0.6689717585696803}",25,20,8.518814400083079,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.9, 'e': 0.6622820409839835}",35,3,-111.95886503857484,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 2}",1
42,False,"{'a': 0.9, 'e': 0.6556592205741436}",25,0,-36.429653114481525,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
43,False,"{'a': 0.9, 'e': 0.6491026283684022}",25,0,-32.350195576484694,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
44,False,"{'a': 0.9, 'e': 0.6426116020847181}",20,1,-117.32365688868603,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 2}",1
45,False,"{'a': 0.9, 'e': 0.6361854860638709}",20,0,-116.4485653781235,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
46,False,"{'a': 0.9, 'e': 0.6298236312032323}",30,0,-80.50760065665229,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
47,False,"{'a': 0.9, 'e': 0.6235253948912}",30,8,-45.51594505468819,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
48,False,"{'a': 0.9, 'e': 0.617290140942288}",20,0,-138.54294856580754,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
49,False,"{'a': 0.9, 'e': 0.611117239532865}",25,0,-50.11271017447365,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.9, 'e': 0.6050060671375364}",20,0,4.972914692733333,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.9, 'e': 0.598956006466161}",30,14,-61.28510513288093,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.9, 'e': 0.5929664464014994}",30,14,8.227551270439736,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.9, 'e': 0.5870367819374844}",35,0,-109.04840411827053,"{0: 29, 1: 0, 2: 3, 3: 0, 4: 3}",0
54,False,"{'a': 0.9, 'e': 0.5811664141181095}",20,0,-110.00603234169441,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
55,False,"{'a': 0.9, 'e': 0.5753547499769285}",25,1,-26.16994070805107,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 0}",1
56,False,"{'a': 0.9, 'e': 0.5696012024771592}",20,0,-8.3978754982045,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
57,False,"{'a': 0.9, 'e': 0.5639051904523875}",25,4,-134.01372189962322,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 2}",1
58,False,"{'a': 0.9, 'e': 0.5582661385478637}",20,0,-74.17363631436075,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
59,False,"{'a': 0.9, 'e': 0.5526834771623851}",30,0,-11.973439309710784,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
60,False,"{'a': 0.9, 'e': 0.5471566423907612}",25,0,-123.29209543439468,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
61,False,"{'a': 0.9, 'e': 0.5416850759668536}",25,0,-50.61187218775865,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.9, 'e': 0.536268225207185}",25,13,-43.054712305240166,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
63,False,"{'a': 0.9, 'e': 0.5309055429551132}",35,18,-18.527376551704467,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.9, 'e': 0.525596487525562}",20,0,17.621102890370484,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.9, 'e': 0.5203405226503064}",20,0,-107.23852951520878,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
66,False,"{'a': 0.9, 'e': 0.5151371174238033}",30,0,-89.76474781469744,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
67,False,"{'a': 0.9, 'e': 0.5099857462495653}",25,13,-35.30075590723351,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
68,False,"{'a': 0.9, 'e': 0.5048858887870696}",20,0,-29.17904146416073,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
69,False,"{'a': 0.9, 'e': 0.4998370298991989}",25,17,6.032367516755399,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.9, 'e': 0.49483865960020695}",30,18,-29.979842322440845,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.9, 'e': 0.4898902730042049}",30,0,-44.84934187201481,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
72,False,"{'a': 0.9, 'e': 0.48499137027416284}",25,11,8.259649549419148,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.9, 'e': 0.4801414565714212}",20,0,-18.523685287482927,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.9, 'e': 0.47534004200570695}",25,1,-51.6122541167682,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 1}",1
75,False,"{'a': 0.9, 'e': 0.4705866415856499}",25,19,0.5347100741367063,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.9, 'e': 0.46588077516979337}",20,5,-12.655455230407565,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
77,False,"{'a': 0.9, 'e': 0.46122196741809546}",30,0,-72.66578927099943,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.9, 'e': 0.4566097477439145}",20,14,10.426175114898458,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.9, 'e': 0.45204365026647536}",25,17,-23.767555957038304,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.9, 'e': 0.4475232137638106}",20,4,-6.239791483481342,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.9, 'e': 0.4430479816261725}",30,6,-82.69997120769928,"{0: 19, 1: 0, 2: 1, 3: 3, 4: 1}",1
82,False,"{'a': 0.9, 'e': 0.43861750180991077}",25,3,-47.18387418408822,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
83,False,"{'a': 0.9, 'e': 0.43423132679181164}",30,0,-43.02731939303187,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
84,False,"{'a': 0.9, 'e': 0.4298890135238935}",25,14,-33.50120805648771,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
85,False,"{'a': 0.9, 'e': 0.4255901233886546}",20,0,-70.57203381887572,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
86,False,"{'a': 0.9, 'e': 0.421334222154768}",20,9,7.462198246913752,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.9, 'e': 0.41712087993322033}",20,3,-32.47284073802048,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
88,False,"{'a': 0.9, 'e': 0.41294967113388814}",25,0,15.531459132810935,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
89,False,"{'a': 0.9, 'e': 0.40882017442254925}",25,17,-0.48827496903267686,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.9, 'e': 0.4047319726783238}",30,8,-41.49346713791044,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 0}",1
91,False,"{'a': 0.9, 'e': 0.40068465295154054}",25,14,13.592790061316235,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.9, 'e': 0.3966778064220251}",25,0,10.949253558376903,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.9, 'e': 0.39271102835780486}",20,16,6.754676457397315,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.9, 'e': 0.3887839180742268}",20,9,9.912646052182808,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.9, 'e': 0.38489607889348454}",25,15,6.6756383121510385,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.9, 'e': 0.38104711810454966}",20,2,1.3459619484441954,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.9, 'e': 0.37723664692350417}",25,15,-5.19888983081724,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.9, 'e': 0.37346428045426916}",25,1,14.315784144585095,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.9, 'e': 0.36972963764972644}",25,0,8.341699640841746,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.9, 'e': 0.3660323412732292}",20,0,-36.47761132782606,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
101,False,"{'a': 0.9, 'e': 0.3623720178604969}",25,0,-7.039677838718711,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
102,False,"{'a': 0.9, 'e': 0.3587482976818919}",20,2,-8.056408819284249,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
103,False,"{'a': 0.9, 'e': 0.355160814705073}",30,5,15.561131254230654,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.9, 'e': 0.35160920655802225}",35,27,12.322588339771226,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.9, 'e': 0.348093114492442}",20,1,10.905993975771912,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.9, 'e': 0.3446121833475176}",30,0,-91.7887959953151,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
107,False,"{'a': 0.9, 'e': 0.34116606151404244}",20,8,-6.121123167017446,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.9, 'e': 0.337754400898902}",20,0,-68.79280598392536,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
109,False,"{'a': 0.9, 'e': 0.334376856889913}",25,0,-3.477383859478695,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
110,False,"{'a': 0.9, 'e': 0.33103308832101386}",20,13,2.8297932244493533,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.9, 'e': 0.3277227574378037}",20,0,-15.481899185613743,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
112,False,"{'a': 0.9, 'e': 0.3244455298634257}",25,0,-56.08589744712623,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
113,False,"{'a': 0.9, 'e': 0.3212010745647914}",25,12,21.516479631308037,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.9, 'e': 0.3179890638191435}",25,16,12.744321513685627,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
